"region","regioncode","prefecture","commune","canton","code_canton","code","localite_name","localites","locationcode","idcentre","centres"
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1480,ZAMISSI,ZAMISSI-EPP BAGUIDA IV,"000012869","12869",EPP BAGUIDA IV
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1483,GROUPEMENT PEUHL WOURI-WOURI,GROUPEMENT PEUHL WOURI-WOURI-EPL DANTE,"000012870","12870",EPL DANTE
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1488,SIMBIN-KOMOLOGO,SIMBIN-KOMOLOGO-EPC APEDOKOE,"000012875","12875",EPC APEDOKOE
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1494,POGYOGO,POGYOGO-EPC SEGBE,"000012876","12876",EPC SEGBE
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1488,SIMBIN-KOMOLOGO,SIMBIN-KOMOLOGO-EPE APEDOKOE,"000012877","12877",EPE APEDOKOE
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1486,SIAMBIN,SIAMBIN-CPL LE SEMEUR DIVIN,"000012878","12878",CPL LE SEMEUR DIVIN
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1487,BARGOUNDE,BARGOUNDE-EPP AKATO VIEPE G/A,"000012879","12879",EPP AKATO VIEPE G/A
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1487,BARGOUNDE,BARGOUNDE-EPP AKATO VIEPE G/B,"000012880","12880",EPP AKATO VIEPE G/B
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1489,SAMMONGO 2,SAMMONGO 2-EPP AWATAME G/B,"000012881","12881",EPP AWATAME G/B
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1492,DABOYA,DABOYA-EPP LANKOUVI G/A,"000012882","12882",EPP LANKOUVI G/A
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1492,DABOYA,DABOYA-EPP LANKOUVI G/B,"000012883","12883",EPP LANKOUVI G/B
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1493,MOSSI,MOSSI-CPL AMITIE CONCORDE,"000012884","12884",CPL AMITIE CONCORDE
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1493,MOSSI,MOSSI-CPL EBENEZER,"000012885","12885",CPL EBENEZER
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1493,MOSSI,MOSSI-EPP SAGBADO G/A,"000012886","12886",EPP SAGBADO G/A
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1493,MOSSI,MOSSI-EPP SAGBADO G/B,"000012887","12887",EPP SAGBADO G/B
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1494,POGYOGO,POGYOGO-EPP SEGBE G/A,"000012888","12888",EPP SEGBE G/A
