code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
R1_TCHAOUDJO_TCHAOUDJO_1,TCHAOUDJO 1,3,Commune,R1_TCHAOUDJO,fra,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAOUDJO_TCHAOUDJO_2,TCHAOUDJO 2,3,Commune,R1_TCHAOUDJO,eng,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAOUDJO_TCHAOUDJO_2,TCHAOUDJO 2,3,Commune,R1_TCHAOUDJO,fra,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAOUDJO_TCHAOUDJO_3,TCHAOUDJO 3,3,Commune,R1_TCHAOUDJO,eng,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAOUDJO_TCHAOUDJO_3,TCHAOUDJO 3,3,Commune,R1_TCHAOUDJO,fra,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAOUDJO_TCHAOUDJO_4,TCHAOUDJO 4,3,Commune,R1_TCHAOUDJO,eng,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAOUDJO_TCHAOUDJO_4,TCHAOUDJO 4,3,Commune,R1_TCHAOUDJO,fra,t,superadmin,2021-11-25 01:30:04.082
R2_ASSOLI_ASSOLI_1,ASSOLI 1,3,Commune,R2_ASSOLI,eng,t,superadmin,2021-11-25 01:30:04.082
R2_ASSOLI_ASSOLI_1,ASSOLI 1,3,Commune,R2_ASSOLI,fra,t,superadmin,2021-11-25 01:30:04.082
R2_ASSOLI_ASSOLI_2,ASSOLI 2,3,Commune,R2_ASSOLI,eng,t,superadmin,2021-11-25 01:30:04.082
R2_ASSOLI_ASSOLI_2,ASSOLI 2,3,Commune,R2_ASSOLI,fra,t,superadmin,2021-11-25 01:30:04.082
R2_ASSOLI_ASSOLI_3,ASSOLI 3,3,Commune,R2_ASSOLI,eng,t,superadmin,2021-11-25 01:30:04.082
R2_ASSOLI_ASSOLI_3,ASSOLI 3,3,Commune,R2_ASSOLI,fra,t,superadmin,2021-11-25 01:30:04.082
R2_BASSAR_BASSAR_1,BASSAR 1,3,Commune,R2_BASSAR,eng,t,superadmin,2021-11-25 01:30:04.082
R2_BASSAR_BASSAR_1,BASSAR 1,3,Commune,R2_BASSAR,fra,t,superadmin,2021-11-25 01:30:04.082
R2_BASSAR_BASSAR_2,BASSAR 2,3,Commune,R2_BASSAR,eng,t,superadmin,2021-11-25 01:30:04.082
R2_BASSAR_BASSAR_2,BASSAR 2,3,Commune,R2_BASSAR,fra,t,superadmin,2021-11-25 01:30:04.082
R2_BASSAR_BASSAR_3,BASSAR 3,3,Commune,R2_BASSAR,eng,t,superadmin,2021-11-25 01:30:04.082
R2_BASSAR_BASSAR_3,BASSAR 3,3,Commune,R2_BASSAR,fra,t,superadmin,2021-11-25 01:30:04.082
R2_BASSAR_BASSAR_4,BASSAR 4,3,Commune,R2_BASSAR,eng,t,superadmin,2021-11-25 01:30:04.082
R2_BASSAR_BASSAR_4,BASSAR 4,3,Commune,R2_BASSAR,fra,t,superadmin,2021-11-25 01:30:04.082
R2_BINAH_BINAH_1,BINAH 1,3,Commune,R2_BINAH,eng,t,superadmin,2021-11-25 01:30:04.082
R2_BINAH_BINAH_1,BINAH 1,3,Commune,R2_BINAH,fra,t,superadmin,2021-11-25 01:30:04.082
R2_BINAH_BINAH_2,BINAH 2,3,Commune,R2_BINAH,eng,t,superadmin,2021-11-25 01:30:04.082
R2_BINAH_BINAH_2,BINAH 2,3,Commune,R2_BINAH,fra,t,superadmin,2021-11-25 01:30:04.082
R2_DANKPEN_DANKPEN_1,DANKPEN 1,3,Commune,R2_DANKPEN,eng,t,superadmin,2021-11-25 01:30:04.082
R2_DANKPEN_DANKPEN_1,DANKPEN 1,3,Commune,R2_DANKPEN,fra,t,superadmin,2021-11-25 01:30:04.082
R2_DANKPEN_DANKPEN_2,DANKPEN 2,3,Commune,R2_DANKPEN,eng,t,superadmin,2021-11-25 01:30:04.082
R2_DANKPEN_DANKPEN_2,DANKPEN 2,3,Commune,R2_DANKPEN,fra,t,superadmin,2021-11-25 01:30:04.082
R2_DANKPEN_DANKPEN_3,DANKPEN 3,3,Commune,R2_DANKPEN,eng,t,superadmin,2021-11-25 01:30:04.082
R2_DANKPEN_DANKPEN_3,DANKPEN 3,3,Commune,R2_DANKPEN,fra,t,superadmin,2021-11-25 01:30:04.082
R2_DOUFELGOU_DOUFELGOU_1,DOUFELGOU 1,3,Commune,R2_DOUFELGOU,eng,t,superadmin,2021-11-25 01:30:04.082
R2_DOUFELGOU_DOUFELGOU_1,DOUFELGOU 1,3,Commune,R2_DOUFELGOU,fra,t,superadmin,2021-11-25 01:30:04.082
R2_DOUFELGOU_DOUFELGOU_2,DOUFELGOU 2,3,Commune,R2_DOUFELGOU,eng,t,superadmin,2021-11-25 01:30:04.082
R2_DOUFELGOU_DOUFELGOU_2,DOUFELGOU 2,3,Commune,R2_DOUFELGOU,fra,t,superadmin,2021-11-25 01:30:04.082
R2_DOUFELGOU_DOUFELGOU_3,DOUFELGOU 3,3,Commune,R2_DOUFELGOU,eng,t,superadmin,2021-11-25 01:30:04.082
R2_DOUFELGOU_DOUFELGOU_3,DOUFELGOU 3,3,Commune,R2_DOUFELGOU,fra,t,superadmin,2021-11-25 01:30:04.082
R2_KERAN_KERAN_1,KERAN 1,3,Commune,R2_KERAN,eng,t,superadmin,2021-11-25 01:30:04.082
R2_KERAN_KERAN_1,KERAN 1,3,Commune,R2_KERAN,fra,t,superadmin,2021-11-25 01:30:04.082
R2_KERAN_KERAN_2,KERAN 2,3,Commune,R2_KERAN,eng,t,superadmin,2021-11-25 01:30:04.082
R2_KERAN_KERAN_2,KERAN 2,3,Commune,R2_KERAN,fra,t,superadmin,2021-11-25 01:30:04.082
R2_KERAN_KERAN_3,KERAN 3,3,Commune,R2_KERAN,eng,t,superadmin,2021-11-25 01:30:04.082
R2_KERAN_KERAN_3,KERAN 3,3,Commune,R2_KERAN,fra,t,superadmin,2021-11-25 01:30:04.082
R2_KOZAH_KOZAH_1,KOZAH 1,3,Commune,R2_KOZAH,eng,t,superadmin,2021-11-25 01:30:04.082
R2_KOZAH_KOZAH_1,KOZAH 1,3,Commune,R2_KOZAH,fra,t,superadmin,2021-11-25 01:30:04.082
R2_KOZAH_KOZAH_2,KOZAH 2,3,Commune,R2_KOZAH,eng,t,superadmin,2021-11-25 01:30:04.082
R2_KOZAH_KOZAH_2,KOZAH 2,3,Commune,R2_KOZAH,fra,t,superadmin,2021-11-25 01:30:04.082
R2_KOZAH_KOZAH_3,KOZAH 3,3,Commune,R2_KOZAH,eng,t,superadmin,2021-11-25 01:30:04.082
R2_KOZAH_KOZAH_3,KOZAH 3,3,Commune,R2_KOZAH,fra,t,superadmin,2021-11-25 01:30:04.082
R2_KOZAH_KOZAH_4,KOZAH 4,3,Commune,R2_KOZAH,eng,t,superadmin,2021-11-25 01:30:04.082
R2_KOZAH_KOZAH_4,KOZAH 4,3,Commune,R2_KOZAH,fra,t,superadmin,2021-11-25 01:30:04.082
R3_AVE_AVE_1,AVE 1,3,Commune,R3_AVE,eng,t,superadmin,2021-11-25 01:30:04.082
R3_AVE_AVE_1,AVE 1,3,Commune,R3_AVE,fra,t,superadmin,2021-11-25 01:30:04.082
R3_AVE_AVE_2,AVE 2,3,Commune,R3_AVE,eng,t,superadmin,2021-11-25 01:30:04.082
R3_AVE_AVE_2,AVE 2,3,Commune,R3_AVE,fra,t,superadmin,2021-11-25 01:30:04.082
R3_BAS_MONO_BAS_MONO_1,BAS-MONO 1,3,Commune,R3_BAS_MONO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_BAS_MONO_BAS_MONO_1,BAS-MONO 1,3,Commune,R3_BAS_MONO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_BAS_MONO_BAS_MONO_2,BAS-MONO 2,3,Commune,R3_BAS_MONO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_BAS_MONO_BAS_MONO_2,BAS-MONO 2,3,Commune,R3_BAS_MONO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_LACS_LACS_1,LACS 1,3,Commune,R3_LACS,eng,t,superadmin,2021-11-25 01:30:04.082
R3_LACS_LACS_1,LACS 1,3,Commune,R3_LACS,fra,t,superadmin,2021-11-25 01:30:04.082
R3_LACS_LACS_2,LACS 2,3,Commune,R3_LACS,eng,t,superadmin,2021-11-25 01:30:04.082
R3_LACS_LACS_2,LACS 2,3,Commune,R3_LACS,fra,t,superadmin,2021-11-25 01:30:04.082
R3_LACS_LACS_3,LACS 3,3,Commune,R3_LACS,eng,t,superadmin,2021-11-25 01:30:04.082
R3_LACS_LACS_3,LACS 3,3,Commune,R3_LACS,fra,t,superadmin,2021-11-25 01:30:04.082
R3_LACS_LACS_4,LACS 4,3,Commune,R3_LACS,eng,t,superadmin,2021-11-25 01:30:04.082
R3_LACS_LACS_4,LACS 4,3,Commune,R3_LACS,fra,t,superadmin,2021-11-25 01:30:04.082
R3_VO_VO_1,VO 1,3,Commune,R3_VO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_VO_VO_1,VO 1,3,Commune,R3_VO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_VO_VO_2,VO 2,3,Commune,R3_VO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_VO_VO_2,VO 2,3,Commune,R3_VO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_VO_VO_3,VO 3,3,Commune,R3_VO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_VO_VO_3,VO 3,3,Commune,R3_VO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_VO_VO_4,VO 4,3,Commune,R3_VO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_VO_VO_4,VO 4,3,Commune,R3_VO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_YOTO_YOTO_1,YOTO 1,3,Commune,R3_YOTO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_YOTO_YOTO_1,YOTO 1,3,Commune,R3_YOTO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_YOTO_YOTO_2,YOTO 2,3,Commune,R3_YOTO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_YOTO_YOTO_2,YOTO 2,3,Commune,R3_YOTO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_YOTO_YOTO_3,YOTO 3,3,Commune,R3_YOTO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_YOTO_YOTO_3,YOTO 3,3,Commune,R3_YOTO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_ZIO_ZIO_1,ZIO 1,3,Commune,R3_ZIO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_ZIO_ZIO_1,ZIO 1,3,Commune,R3_ZIO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_ZIO_ZIO_2,ZIO 2,3,Commune,R3_ZIO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_ZIO_ZIO_2,ZIO 2,3,Commune,R3_ZIO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_ZIO_ZIO_3,ZIO 3,3,Commune,R3_ZIO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_ZIO_ZIO_3,ZIO 3,3,Commune,R3_ZIO,fra,t,superadmin,2021-11-25 01:30:04.082
R3_ZIO_ZIO_4,ZIO 4,3,Commune,R3_ZIO,eng,t,superadmin,2021-11-25 01:30:04.082
R3_ZIO_ZIO_4,ZIO 4,3,Commune,R3_ZIO,fra,t,superadmin,2021-11-25 01:30:04.082
R4_AGOU_AGOU_1,AGOU 1,3,Commune,R4_AGOU,eng,t,superadmin,2021-11-25 01:30:04.082
R4_AGOU_AGOU_1,AGOU 1,3,Commune,R4_AGOU,fra,t,superadmin,2021-11-25 01:30:04.082
R4_AMOU_AMOU_3,AMOU 3,3,Commune,R4_AMOU,eng,t,superadmin,2021-11-25 01:30:04.082
R4_AMOU_AMOU_3,AMOU 3,3,Commune,R4_AMOU,fra,t,superadmin,2021-11-25 01:30:04.082
R4_EST_MONO_EST_MONO_3,EST-MONO 3,3,Commune,R4_EST_MONO,eng,t,superadmin,2021-11-25 01:30:04.082
R4_EST_MONO_EST_MONO_3,EST-MONO 3,3,Commune,R4_EST_MONO,fra,t,superadmin,2021-11-25 01:30:04.082
R4_OGOU_OGOU_1,OGOU 1,3,Commune,R4_OGOU,eng,t,superadmin,2021-11-25 01:30:04.082
R4_OGOU_OGOU_1,OGOU 1,3,Commune,R4_OGOU,fra,t,superadmin,2021-11-25 01:30:04.082
R5_CINKASSE_CINKASSE_1,CINKASSE 1,3,Commune,R5_CINKASSE,eng,t,superadmin,2021-11-25 01:30:04.082
R5_CINKASSE_CINKASSE_1,CINKASSE 1,3,Commune,R5_CINKASSE,fra,t,superadmin,2021-11-25 01:30:04.082
R5_CINKASSE_CINKASSE_2,CINKASSE 2,3,Commune,R5_CINKASSE,eng,t,superadmin,2021-11-25 01:30:04.082
R5_CINKASSE_CINKASSE_2,CINKASSE 2,3,Commune,R5_CINKASSE,fra,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL_KPENDJAL_1,KPENDJAL 1,3,Commune,R5_KPENDJAL,eng,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL_KPENDJAL_1,KPENDJAL 1,3,Commune,R5_KPENDJAL,fra,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL_KPENDJAL_2,KPENDJAL 2,3,Commune,R5_KPENDJAL,eng,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL_KPENDJAL_2,KPENDJAL 2,3,Commune,R5_KPENDJAL,fra,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL_OUEST_KPENDJAL_OUEST_1,KPENDJAL OUEST 1,3,Commune,R5_KPENDJAL_OUEST,eng,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL_OUEST_KPENDJAL_OUEST_1,KPENDJAL OUEST 1,3,Commune,R5_KPENDJAL_OUEST,fra,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL_OUEST_KPENDJAL_OUEST_2,KPENDJAL OUEST 2,3,Commune,R5_KPENDJAL_OUEST,eng,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL_OUEST_KPENDJAL_OUEST_2,KPENDJAL OUEST 2,3,Commune,R5_KPENDJAL_OUEST,fra,t,superadmin,2021-11-25 01:30:04.082
R5_OTI_OTI_1,OTI 1,3,Commune,R5_OTI,eng,t,superadmin,2021-11-25 01:30:04.082
R5_OTI_OTI_1,OTI 1,3,Commune,R5_OTI,fra,t,superadmin,2021-11-25 01:30:04.082
R5_OTI_OTI_2,OTI 2,3,Commune,R5_OTI,eng,t,superadmin,2021-11-25 01:30:04.082
R5_OTI_OTI_2,OTI 2,3,Commune,R5_OTI,fra,t,superadmin,2021-11-25 01:30:04.082
R5_OTI_SUD_OTI_SUD_1,OTI SUD 1,3,Commune,R5_OTI_SUD,eng,t,superadmin,2021-11-25 01:30:04.082
R5_OTI_SUD_OTI_SUD_1,OTI SUD 1,3,Commune,R5_OTI_SUD,fra,t,superadmin,2021-11-25 01:30:04.082
R5_OTI_SUD_OTI_SUD_2,OTI SUD 2,3,Commune,R5_OTI_SUD,eng,t,superadmin,2021-11-25 01:30:04.082
R5_OTI_SUD_OTI_SUD_2,OTI SUD 2,3,Commune,R5_OTI_SUD,fra,t,superadmin,2021-11-25 01:30:04.082
R5_TANDJOARE_TANDJOARE_1,TANDJOARE 1,3,Commune,R5_TANDJOARE,eng,t,superadmin,2021-11-25 01:30:04.082
R5_TANDJOARE_TANDJOARE_1,TANDJOARE 1,3,Commune,R5_TANDJOARE,fra,t,superadmin,2021-11-25 01:30:04.082
R5_TANDJOARE_TANDJOARE_2,TANDJOARE 2,3,Commune,R5_TANDJOARE,eng,t,superadmin,2021-11-25 01:30:04.082
R5_TANDJOARE_TANDJOARE_2,TANDJOARE 2,3,Commune,R5_TANDJOARE,fra,t,superadmin,2021-11-25 01:30:04.082
R5_TONE_TONE_1,TONE 1,3,Commune,R5_TONE,eng,t,superadmin,2021-11-25 01:30:04.082
R5_TONE_TONE_1,TONE 1,3,Commune,R5_TONE,fra,t,superadmin,2021-11-25 01:30:04.082
R5_TONE_TONE_2,TONE 2,3,Commune,R5_TONE,eng,t,superadmin,2021-11-25 01:30:04.082
R5_TONE_TONE_2,TONE 2,3,Commune,R5_TONE,fra,t,superadmin,2021-11-25 01:30:04.082
R5_TONE_TONE_3,TONE 3,3,Commune,R5_TONE,eng,t,superadmin,2021-11-25 01:30:04.082
